Start,End,Sequence,Length,Color
24[79],22[80],??????????????????????????????,30,#00f900
17[192],20[192],????????????????????????????????????????????????,48,#000000
25[96],24[112],????????????????????????????????,32,#000000
17[32],19[31],??????????????????????????????,30,#000000
6[79],4[80],??????????????????????????????,30,#000000
7[224],9[223],??????????????????????????????,30,#000000
12[175],10[176],????????????????????????????????,32,#000000
23[224],25[223],??????????????????????????????,30,#000000
3[256],6[256],????????????????????????????????????????????????,48,#000000
7[32],9[31],??????????????????????????????,30,#000000
14[143],13[159],???????????????????????????????,31,#000000
2[207],3[191],????????????????????????????????,32,#000000
19[160],20[144],???????????????????????????????,31,#000000
10[143],9[159],???????????????????????????????,31,#00f900
16[143],15[159],???????????????????????????????,31,#000000
11[128],13[127],????????????????????????????????,32,#000000
12[271],10[272],??????????????????????????????,30,#000000
25[128],25[159],???????????????????????????????,31,#000000
11[256],13[255],????????????????????????????????,32,#000000
13[96],15[95],????????????????????????????????,32,#000000
19[96],21[95],????????????????????????????????,32,#000000
6[63],8[56],????????????????????????????????????????,40,#000000
4[143],3[159],???????????????????????????????,31,#000000
2[239],3[223],???????????????????????????????,31,#000000
13[224],15[223],??????????????????????????????,30,#000000
20[47],18[48],????????????????????????????????,32,#000000
6[255],8[248],????????????????????????????????????????,40,#000000
18[111],16[112],????????????????????????????????,32,#000000
3[32],5[31],??????????????????????????????,30,#000000
12[111],10[112],????????????????????????????????,32,#000000
14[79],12[80],??????????????????????????????,30,#000000
18[143],17[159],???????????????????????????????,31,#00f900
9[184],11[191],????????????????????????????????????????,40,#000000
15[192],17[191],????????????????????????????????,32,#000000
3[64],6[64],????????????????????????????????????????????????,48,#000000
8[47],6[48],????????????????????????????????,32,#000000
6[207],4[208],????????????????????????????????,32,#000000
9[96],11[95],????????????????????????????????,32,#000000
12[143],11[159],???????????????????????????????,31,#000000
14[271],12[272],??????????????????????????????,30,#000000
15[256],17[255],????????????????????????????????,32,#000000
23[160],24[144],???????????????????????????????,31,#000000
25[256],24[272],????????????????????????????????,32,#000000
15[96],17[95],????????????????????????????????,32,#000000
16[239],14[240],????????????????????????????????,32,#00f900
3[96],5[95],????????????????????????????????,32,#000000
15[160],16[144],???????????????????????????????,31,#000000
15[224],17[223],??????????????????????????????,30,#000000
8[207],6[208],????????????????????????????????,32,#000000
22[239],20[240],????????????????????????????????,32,#000000
20[175],18[176],????????????????????????????????,32,#000000
20[191],22[184],????????????????????????????????????????,40,#000000
